,,,,,,ICDataset-ID,,1571,Ratio,1512,,
,,,,,,Name,Total fossil + nuclear,"CO2, fossil",gCO2/MJ,GWP 100a,,
,,,,,,Location,Non renewable,GLO,,GLO,,
,,,,,,Unit,Primary energy,kg,,kg CO2-Eq,,
,,,,,,Ecocat,,selected LCI results,,IPCC 2001,,
,,,,,,Ecosubcat,,air,,climate change,,
Dataset-ID,Name,Location,Unit,Infrastructureprocess,Ecocat,Ecosubcat,MeanValue,MeanValue,,MeanValue,,
6213,"grass silage organic, at farm",CH,kg,0,agricultural production,plant production,1.43,0.067951,47.5,0.16688,,
202,"green manure IP, until April",CH,ha,0,agricultural production,plant production,3560.9,194.94,54.7,1319.3,,
203,"green manure IP, until February",CH,ha,0,agricultural production,plant production,3560.9,194.94,54.7,1319.3,,
204,"green manure IP, until January",CH,ha,0,agricultural production,plant production,3560.9,194.94,54.7,1319.3,,
205,"green manure IP, until march",CH,ha,0,agricultural production,plant production,3560.9,194.94,54.7,1319.3,,
206,"green manure organic, until April",CH,ha,0,agricultural production,plant production,1234.25,72.385,58.6,641.1,,
207,"green manure organic, until February",CH,ha,0,agricultural production,plant production,1234.25,72.385,58.6,641.1,,
208,"green manure organic, until January",CH,ha,0,agricultural production,plant production,1234.25,72.385,58.6,641.1,,
209,"green manure organic, until march",CH,ha,0,agricultural production,plant production,1234.25,72.385,58.6,641.1,,
210,"hay extensive, at farm",CH,kg,0,agricultural production,plant production,1.02,0.057398,56.3,0.094038,,
211,"hay intensive IP, at farm",CH,kg,0,agricultural production,plant production,2.42,0.090818,37.5,0.22078,,
212,"hay intensive organic, at farm",CH,kg,0,agricultural production,plant production,2.31,0.086385,37.4,0.18688,,
213,"husked nuts harvesting, at farm",PH,kg,0,agricultural production,plant production,0,5.9219e-05,#DIV/0!,6.1073e-05,,
10178,"jute fibres, irrigated system, at farm",IN,kg,0,agricultural production,plant production,2.74,0.13229,48.3,0.60547,,
10179,"jute fibres, rainfed system, at farm",IN,kg,0,agricultural production,plant production,3.07,0.16856,54.9,0.56154,,
10180,"jute stalks, from fibre production, irrigated system, at farm",IN,kg,0,agricultural production,plant production,0.08,0.0040891,51.1,0.018715,,
10181,"jute stalks, from fibre production, rainfed system, at farm",IN,kg,0,agricultural production,plant production,0.09,0.0052103,57.9,0.017358,,
10184,"kenaf fibres, at farm",IN,kg,0,agricultural production,plant production,3.13,0.1691,54,0.56824,,
10185,"kenaf stalks, from fibre production, at farm",IN,kg,0,agricultural production,plant production,0.1,0.0052269,52.3,0.017565,,
214,"maize starch, at plant",DE,kg,0,agricultural production,plant production,14.1,0.78842,55.9,1.3073,,
199,"palm fruit bunches, at farm",MY,kg,0,agricultural production,plant production,1.56,0.30789,197.4,0.41311,,
215,"potato starch, at plant",DE,kg,0,agricultural production,plant production,8.5,0.46255,54.4,0.83877,,
216,"potatoes IP, at farm",CH,kg,0,agricultural production,plant production,0.82,0.043161,52.6,0.13392,,
217,"potatoes organic, at farm",CH,kg,0,agricultural production,plant production,0.94,0.050677,53.9,0.14265,,
6968,"potatoes, at farm",US,kg,0,agricultural production,plant production,1.21,0.057189,47.3,0.11527,,
6963,"protein peas conventional, Barrois, at farm",FR,kg,0,agricultural production,plant production,2.85,0.15851,55.6,0.69585,,
6959,"protein peas conventional, Castilla-y-Leon, at farm",ES,kg,0,agricultural production,plant production,6.62,0.38824,58.6,1.2723,,
6955,"protein peas conventional, Saxony-Anhalt, at farm",DE,kg,0,agricultural production,plant production,3.66,0.20727,56.6,0.65819,,
218,"protein peas, IP, at farm",CH,kg,0,agricultural production,plant production,4.25,0.22946,54,1.0247,,
219,"protein peas, organic, at farm",CH,kg,0,agricultural production,plant production,3.85,0.21584,56.1,0.98718,,
221,"rape seed IP, at farm",CH,kg,0,agricultural production,plant production,6.27,0.32981,52.6,1.042,,
6965,"rape seed conventional, Barrois, at farm",FR,kg,0,agricultural production,plant production,7.38,0.42351,57.4,1.2748,,
6957,"rape seed conventional, Saxony-Anhalt, at farm",DE,kg,0,agricultural production,plant production,8.9,0.42674,47.9,0.8962,,
6576,"rape seed conventional, at farm",DE,kg,0,agricultural production,plant production,9.91,0.5097,51.4,1.3229,,
220,"rape seed extensive, at farm",CH,kg,0,agricultural production,plant production,6.09,0.32231,52.9,1.0793,,
6969,"rape seed, at farm",US,kg,0,agricultural production,plant production,13.14,0.73502,55.9,1.8642,,
6215,"rape seed, organic, at farm",CH,kg,0,agricultural production,plant production,5.11,0.28527,55.8,0.67797,,
6970,"rice, at farm",US,kg,0,agricultural production,plant production,5.14,0.2516,48.9,0.46634,,
223,"rye grains IP, at farm",CH,kg,0,agricultural production,plant production,2.29,0.12574,54.9,0.34159,,
6577,"rye grains conventional, at farm",RER,kg,0,agricultural production,plant production,4.32,0.2306,53.4,0.51658,,
222,"rye grains extensive, at farm",CH,kg,0,agricultural production,plant production,2.69,0.14937,55.5,0.42237,,
224,"rye grains organic, at farm",CH,kg,0,agricultural production,plant production,2.12,0.12462,58.8,0.52988,,
226,"rye straw IP, at farm",CH,kg,0,agricultural production,plant production,0.58,0.029042,50.1,0.064678,,
6578,"rye straw conventional, at farm",RER,kg,0,agricultural production,plant production,1.27,0.061906,48.7,0.10919,,
225,"rye straw extensive, at farm",CH,kg,0,agricultural production,plant production,0.64,0.032852,51.3,0.077706,,
227,"rye straw organic, at farm",CH,kg,0,agricultural production,plant production,0.44,0.021936,49.9,0.063316,,
228,"silage maize IP, at farm",CH,kg,0,agricultural production,plant production,0.39,0.022308,57.2,0.061123,,
229,"silage maize organic, at farm",CH,kg,0,agricultural production,plant production,0.29,0.016968,58.5,0.040023,,
230,"soy beans IP, at farm",CH,kg,0,agricultural production,plant production,5.3,0.28259,53.3,1.5501,,
231,"soy beans organic, at farm",CH,kg,0,agricultural production,plant production,4.02,0.21993,54.7,1.3176,,
6658,"soybeans, at farm",BR,kg,0,agricultural production,plant production,1.81,1.1297,624.1,1.6364,,
6659,"soybeans, at farm",US,kg,0,agricultural production,plant production,1.55,0.08686,56,0.50663,,
232,"straw IP, at farm",CH,kg,0,agricultural production,plant production,0.72,0.037016,51.4,0.099939,,
233,"straw organic, at farm",CH,kg,0,agricultural production,plant production,0.46,0.023463,51,0.071829,,
6216,"straw, from straw areas, at field",CH,kg,0,agricultural production,plant production,0.75,0.044301,59.1,0.095448,,
234,"sugar beets IP, at farm",CH,kg,0,agricultural production,plant production,0.31,0.017783,57.4,0.061484,,
6258,"sugar cane, at farm",BR,kg,0,agricultural production,plant production,0.19,0.0097702,51.4,0.020282,,
235,"sunflower IP, at farm",CH,kg,0,agricultural production,plant production,7,0.3567,51,1.1257,,
6961,"sunflower conventional, Castilla-y-Leon, at farm",ES,kg,0,agricultural production,plant production,6.25,0.37396,59.8,1.2314,,
6711,"sweet sorghum grains, at farm",CN,kg,0,agricultural production,plant production,3.33,0.13081,39.3,0.28985,,
6582,"sweet sorghum stem, at farm",CN,kg,0,agricultural production,plant production,0.36,0.014034,39,0.031096,,
237,"wheat grains IP, at farm",CH,kg,0,agricultural production,plant production,3.3,0.18043,54.7,0.5921,,
6966,"wheat grains conventional, Barrois, at farm",FR,kg,0,agricultural production,plant production,3.58,0.2085,58.2,0.62761,,
6962,"wheat grains conventional, Castilla-y-Leon, at farm",ES,kg,0,agricultural production,plant production,6.42,0.35233,54.9,0.76168,,
6958,"wheat grains conventional, Saxony-Anhalt, at farm",DE,kg,0,agricultural production,plant production,3.49,0.18464,52.9,0.55154,,
236,"wheat grains extensive, at farm",CH,kg,0,agricultural production,plant production,3.45,0.19084,55.3,0.67096,,
238,"wheat grains organic, at farm",CH,kg,0,agricultural production,plant production,2.31,0.13561,58.7,0.59256,,
6972,"wheat grains, at farm",US,kg,0,agricultural production,plant production,4.63,0.26859,58,0.60218,,
240,"wheat straw IP, at farm",CH,kg,0,agricultural production,plant production,0.66,0.033141,50.2,0.088864,,
239,"wheat straw extensive, at farm",CH,kg,0,agricultural production,plant production,0.68,0.03453,50.8,0.099379,,
241,"wheat straw organic, at farm",CH,kg,0,agricultural production,plant production,0.44,0.021907,49.8,0.064305,,
11111,"electricity, at cogen with biogas engine, agricultural covered, alloc. exergy",CH,kWh,0,biomass,cogeneration,0.45,0.01838,40.8,0.15481,,
11115,"electricity, at cogen with biogas engine, agricultural, alloc. exergy",CH,kWh,0,biomass,cogeneration,0.77,0.038993,50.6,0.34126,,
6221,"electricity, at cogen with biogas engine, allocation exergy",CH,kWh,0,biomass,cogeneration,2.64,0.1103,41.8,0.16884,,
11113,"electricity, at cogen with ignition biogas engine, agric. covered, alloc. exergy",CH,kWh,0,biomass,cogeneration,1.5,0.098614,65.7,0.23846,,
6222,"electricity, at cogen with ignition biogas engine, allocation exergy",CH,kWh,0,biomass,cogeneration,1.62,0.10789,66.6,0.39436,,
11117,"electricity, at cogen, biogas agricultural mix, allocation exergy",CH,kWh,0,biomass,cogeneration,0.9,0.052023,57.8,0.24533,,
6532,"electricity, bagasse, sugarcane, at fermentation plant",BR,kWh,0,biomass,cogeneration,0.23,0.012922,56.2,0.024146,,
6533,"electricity, bagasse, sugarcane, at sugar refinery",BR,kWh,0,biomass,cogeneration,0.17,0.0089574,52.7,0.016658,,
6534,"electricity, bagasse, sweet sorghum, at distillery",CN,kWh,0,biomass,cogeneration,0.83,0.034166,41.2,0.071234,,
6919,"electricity, biogas, allocation exergy, at PEM fuel cell 2kWe, future",CH,kWh,0,biomass,cogeneration,4.5,0.16164,35.9,0.39884,,
6924,"electricity, biogas, allocation exergy, at SOFC fuel cell 125kWe, future",CH,kWh,0,biomass,cogeneration,3.07,0.10751,35,0.27437,,
6929,"electricity, biogas, allocation exergy, at SOFC-GT fuel cell 180kWe, future",CH,kWh,0,biomass,cogeneration,2.61,0.091499,35.1,0.23362,,
6914,"electricity, biogas, allocation exergy, at micro gas turbine 100kWe",CH,kWh,0,biomass,cogeneration,4.01,0.13608,33.9,0.3681,,
6932,"electricity, pellets, allocation exergy, at stirling cogen unit 3kWe, future",CH,kWh,0,biomass,cogeneration,2.84,0.13596,47.9,0.15455,,
11110,"heat, at cogen with biogas engine, agricultural covered, allocation exergy",CH,MJ,0,biomass,cogeneration,0.01,0.00059856,59.9,0.0041588,,
11114,"heat, at cogen with biogas engine, agricultural, allocation exergy",CH,MJ,0,biomass,cogeneration,0.02,0.0011346,56.7,0.0090073,,
6219,"heat, at cogen with biogas engine, allocation exergy",CH,MJ,0,biomass,cogeneration,0.13,0.0053155,40.9,0.0080916,,
11112,"heat, at cogen with ignition biogas engine, agricultural covered, alloc. exergy",CH,MJ,0,biomass,cogeneration,0.04,0.0028513,71.3,0.0066872,,
6220,"heat, at cogen with ignition biogas engine, allocation exergy",CH,MJ,0,biomass,cogeneration,0.08,0.0052395,65.5,0.018783,,
11116,"heat, at cogen, biogas agricultural mix, allocation exergy",CH,MJ,0,biomass,cogeneration,0.04,0.0021421,53.6,0.008919,,
6917,"heat, biogas, allocation exergy, at PEM fuel cell 2kWe, future",CH,MJ,0,biomass,cogeneration,0.15,0.0056733,37.8,0.012257,,
6922,"heat, biogas, allocation exergy, at SOFC fuel cell 125kWe, future",CH,MJ,0,biomass,cogeneration,0.15,0.0051846,34.6,0.013029,,
6927,"heat, biogas, allocation exergy, at SOFC-GT fuel cell 180kWe, future",CH,MJ,0,biomass,cogeneration,0.13,0.0044581,34.3,0.011124,,
6912,"heat, biogas, allocation exergy, at micro gas turbine 100kWe",CH,MJ,0,biomass,cogeneration,0.2,0.0068541,34.3,0.018423,,
6931,"heat, pellets, allocation exergy, at stirling cogen unit 3kWe, future",CH,MJ,0,biomass,cogeneration,0.09,0.0043336,48.2,0.0050863,,
6942,"maintenance stirling cogen unit 3kWe, wood pellets, future",CH,unit,0,biomass,cogeneration,738.08,42.352,57.4,44.926,,
6228,"beet chips, at fermentation plant",CH,kg,0,biomass,fuels,0.67,0.031471,47,0.088543,,
6166,"biogas, from agricultural co-digestion, not covered, at storage",CH,Nm3,0,biomass,fuels,1.65,0.083482,50.6,0.80223,,
6167,"biogas, from agricultural digestion, not covered, at storage",CH,Nm3,0,biomass,fuels,1.66,0.088923,53.6,0.89021,,
10762,"biogas, from biowaste, at agricultural co-fermentation, covered",CH,Nm3,0,biomass,fuels,0.65,0.027727,42.7,0.33145,,
6164,"biogas, from biowaste, at storage",CH,Nm3,0,biomass,fuels,2.39,0.11713,49,0.53529,,
10764,"biogas, from fat and oil, at agricultural co-fermentation, covered",CH,Nm3,0,biomass,fuels,0.88,0.033335,37.9,0.15225,,
6217,"biogas, from grass, digestion, at storage",CH,Nm3,0,biomass,fuels,4.29,0.15432,36,0.37271,,
6165,"biogas, from sewage sludge, at storage",CH,Nm3,0,biomass,fuels,7.06,0.2901,41.1,0.38596,,
10765,"biogas, from slurry, at agricultural co-fermentation, covered",CH,Nm3,0,biomass,fuels,1.04,0.034644,33.3,0.78964,,
6218,"biogas, from whey, digestion, at storage",CH,Nm3,0,biomass,fuels,3.69,0.154,41.7,0.2276,,
10766,"biogas, mix, at agricultural co-fermentation, covered",CH,Nm3,0,biomass,fuels,0.87,0.032345,37.2,0.3397,,
6169,"biogas, production mix, at storage",CH,Nm3,0,biomass,fuels,6.66,0.2753,41.3,0.39873,,
6248,"digested matter, application in agriculture",CH,kg,0,biomass,fuels,0.12,0.0071618,59.7,0.0074585,,
10761,"disposal, biowaste, to agricultural co-fermentation, covered",CH,kg,0,biomass,fuels,0.06,0.0016668,27.8,0.039268,,
6247,"disposal, biowaste, to anaerobic digestion",CH,kg,0,biomass,fuels,1.13,0.056011,49.6,0.24364,,
10763,"disposal, fat and oil, to agricultural co-fermentation, covered",CH,kg,0,biomass,fuels,0.07,0.002059,29.4,0.013615,,
6536,"ethanol, 95% in H2O, from corn, at distillery",US,kg,0,biomass,fuels,21.32,1.1893,55.8,1.9179,,
6223,"ethanol, 95% in H2O, from grass, at fermentation plant",CH,kg,0,biomass,fuels,9.31,0.27391,29.4,0.5209,,
6537,"ethanol, 95% in H2O, from potatoes, at distillery",CH,kg,0,biomass,fuels,22.82,1.1605,50.9,2.4507,,
6538,"ethanol, 95% in H2O, from rye, at distillery",RER,kg,0,biomass,fuels,22.2,1.1814,53.2,2.1603,,
6539,"ethanol, 95% in H2O, from sugar beet molasses, at distillery",CH,kg,0,biomass,fuels,11.6,0.5013,43.2,0.73823,,
6226,"ethanol, 95% in H2O, from sugar beets, at fermentation plant",CH,kg,0,biomass,fuels,8.49,0.42477,50,0.77312,,
6259,"ethanol, 95% in H2O, from sugar cane, at fermentation plant",BR,kg,0,biomass,fuels,3.61,0.20473,56.7,0.38256,,
6540,"ethanol, 95% in H2O, from sugarcane molasses, at sugar refinery",BR,kg,0,biomass,fuels,4.87,0.25654,52.7,0.40887,,
6541,"ethanol, 95% in H2O, from sweet sorghum, at distillery",CN,kg,0,biomass,fuels,7.17,0.30561,42.6,0.59333,,
6224,"ethanol, 95% in H2O, from whey, at fermentation plant",CH,kg,0,biomass,fuels,5.92,0.30786,52,0.3249,,
6542,"ethanol, 95% in H2O, from wood, at distillery",CH,kg,0,biomass,fuels,7,0.3933,56.2,0.54204,,
6256,"ethanol, 99.7% in H2O, from biomass, at distillation",BR,kg,0,biomass,fuels,3.82,0.21354,55.9,0.38704,,
6543,"ethanol, 99.7% in H2O, from biomass, at distillation",US,kg,0,biomass,fuels,22.7,1.2636,55.7,1.9966,,
6544,"ethanol, 99.7% in H2O, from biomass, at distillation",RER,kg,0,biomass,fuels,23.57,1.2546,53.2,2.2379,,
6545,"ethanol, 99.7% in H2O, from biomass, at distillation",CN,kg,0,biomass,fuels,7.18,0.30652,42.7,0.59563,,
6670,"ethanol, 99.7% in H2O, from biomass, at distillation",CH,kg,0,biomass,fuels,8.95,0.32206,36,0.58289,,
6671,"ethanol, 99.7% in H2O, from biomass, at service station",CH,kg,0,biomass,fuels,9.55,0.35393,37.1,0.6163,,
6225,"ethanol, 99.7% in H2O, from biomass, production BR, at service station",CH,kg,0,biomass,fuels,6.03,0.34565,57.3,0.52434,,
6546,"ethanol, 99.7% in H2O, from biomass, production CN, at service station",CH,kg,0,biomass,fuels,11.11,0.53264,47.9,0.83034,,
6547,"ethanol, 99.7% in H2O, from biomass, production RER, at service station",CH,kg,0,biomass,fuels,24.97,1.3291,53.2,2.3164,,
6548,"ethanol, 99.7% in H2O, from biomass, production US, at service station",CH,kg,0,biomass,fuels,25.85,1.4444,55.9,2.1856,,
6549,"ethyl tert-butyl ether, from bioethanol, at plant",RER,kg,0,biomass,fuels,43.18,1.004,23.3,1.5034,,
6176,"methane, 96 vol-%, from biogas, at purification",CH,Nm3,0,biomass,fuels,14.03,0.46691,33.3,1.1686,,
6160,"methane, 96 vol-%, from biogas, from high pressure network, at service station",CH,kg,0,biomass,fuels,20.55,0.65442,31.8,1.606,,
6162,"methane, 96 vol-%, from biogas, from low pressure network, at service station",CH,kg,0,biomass,fuels,25.03,0.72507,29,1.8402,,
6161,"methane, 96 vol-%, from biogas, from medium pressure network, at service station",CH,kg,0,biomass,fuels,21.79,0.67093,30.8,1.6239,,
6158,"methane, 96 vol-%, from biogas, high pressure, at consumer",CH,MJ,0,biomass,fuels,0.41,0.013752,33.5,0.034377,,
6159,"methane, 96 vol-%, from biogas, low pressure, at consumer",CH,MJ,0,biomass,fuels,0.42,0.014082,33.5,0.038174,,
6163,"methane, 96 vol-%, from biogas, production mix, at service station",CH,kg,0,biomass,fuels,20.72,0.65682,31.7,1.6117,,
6553,"methane, 96 vol.-%, from synthetic gas, wood, at plant",CH,Nm3,0,biomass,fuels,10.63,0.33257,31.3,0.39305,,
6099,"methanol, from biomass, at regional storage",CH,kg,0,biomass,fuels,7.95,0.27902,35.1,0.29727,,
6244,"methanol, from synthetic gas, at plant",CH,kg,0,biomass,fuels,7.34,0.24728,33.7,0.26411,,
6564,"palm methyl ester, at esterification plant",MY,kg,0,biomass,fuels,13.01,1.326,101.9,1.711,,
6565,"palm methyl ester, production MY, at service station",CH,kg,0,biomass,fuels,15.23,1.453,95.4,1.843,,
6569,"petrol, 85% vol. ethanol, from biomass, at service station",CH,kg,0,biomass,fuels,20.27,0.71392,35.2,1.1569,,
6112,"rape methyl ester, at esterification plant",CH,kg,0,biomass,fuels,20.73,0.85431,41.2,2.2962,,
6573,"rape methyl ester, at esterification plant",RER,kg,0,biomass,fuels,25.93,1.2103,46.7,2.6205,,
6111,"rape methyl ester, at regional storage",CH,kg,0,biomass,fuels,21.34,0.88636,41.5,2.3304,,
6574,"rape methyl ester, production RER, at service station",CH,kg,0,biomass,fuels,27.33,1.2848,47,2.6993,,
6109,"rape oil, at oil mill",CH,kg,0,biomass,fuels,14.07,0.70779,50.3,2.1205,,
6575,"rape oil, at oil mill",RER,kg,0,biomass,fuels,22.74,1.1707,51.5,2.732,,
6110,"rape oil, at regional storage",CH,kg,0,biomass,fuels,14.67,0.73978,50.4,2.1546,,
6662,"soybean methyl ester, at esterification plant",US,kg,0,biomass,fuels,12.18,0.53549,44,1.2925,,
6667,"soybean methyl ester, at esterification plant",BR,kg,0,biomass,fuels,12.55,2.7377,218.1,3.84,,
6669,"soybean methyl ester, production BR, at service station",CH,kg,0,biomass,fuels,15.21,2.8954,190.4,4.004,,
6664,"soybean methyl ester, production US, at service station",CH,kg,0,biomass,fuels,15.11,0.70453,46.6,1.4688,,
6660,"soybean oil, at oil mill",US,kg,0,biomass,fuels,6.67,0.37308,55.9,1.1549,,
6665,"soybean oil, at oil mill",BR,kg,0,biomass,fuels,7.5,2.7221,362.9,3.8686,,
6100,"synthetic gas, from wood, at fixed bed gasifier",CH,Nm3,0,biomass,fuels,0.62,0.025079,40.5,0.026731,,
6101,"synthetic gas, from wood, at fluidized bed gasifier",CH,Nm3,0,biomass,fuels,0.78,0.03371,43.2,0.035803,,
6102,"synthetic gas, production mix, at plant",CH,Nm3,0,biomass,fuels,0.7,0.029394,42,0.031267,,
6592,"vegetable oil methyl ester, at esterification plant",FR,kg,0,biomass,fuels,9.88,0.28876,29.2,0.31439,,
6593,"vegetable oil methyl ester, production FR, at service station",CH,kg,0,biomass,fuels,11.01,0.34901,31.7,0.37751,,
6106,"vegetable oil, from waste cooking oil, at plant",CH,kg,0,biomass,fuels,5.95,0.23119,38.9,0.44747,,
